"The recipe","Source file count","Source file changed count","Cumulative scanning time","99th percentile scanning time","Max scanning time","Cumulative edit time","99th percentile edit time","Max edit time"
"The recipe whose stats are being measured both individually and cumulatively.","The number of source files the recipe ran over.","The number of source files which were changed in the recipe run. Includes files created, deleted, and edited.","The total time spent across the scanning phase of this recipe.","99 out of 100 scans completed in this amount of time.","The max time scanning any one source file.","The total time spent across the editing phase of this recipe.","99 out of 100 edits completed in this amount of time.","The max time editing any one source file."
"org.openrewrite.java.migrate.concurrent.MigrateAtomicBooleanWeakCompareAndSetToWeakCompareAndSetPlain","366","278","0","0.0","0","25743","0.99","731"
"org.openrewrite.java.migrate.jakarta.JavaxDecoratorToJakartaDecorator","366","278","0","0.0","0","85925","0.99","46467"
"org.openrewrite.java.migrate.javax.MigrateAbstractElementVisitor6To9","366","278","0","0.0","0","60167","0.99","932"
"org.openrewrite.java.migrate.jakarta.JavaxElToJakartaEl","366","278","0","0.0","0","78682","0.99","38722"
"org.openrewrite.java.dependencies.UpgradeDependencyVersion","18300","278","902697001","0.99","283027041","40262814363","0.99","38678362116"
"org.openrewrite.java.migrate.jakarta.JakartaFacesEcmaScript","366","278","0","0.0","0","29028","0.99","501"
"org.openrewrite.maven.UpdateMavenProjectPropertyJavaVersion","1098","278","0","0.0","0","8435426","0.99","1513205"
"org.openrewrite.java.migrate.javax.MigrateSimpleElementVisitor6To9","366","278","0","0.0","0","49355","0.99","1203"
"org.openrewrite.java.dependencies.AddDependency","2562","278","988273182","0.99","72330936","888296198","0.99","81454710"
"org.openrewrite.java.migrate.logging.JavaLoggingAPIs","366","278","0","0.0","0","77601","0.99","14788"
"org.openrewrite.java.migrate.javax.AddInjectDependencies","366","278","0","0.0","0","34069","0.99","962"
"org.openrewrite.java.migrate.logging.MigrateLoggerGlobalToGetGlobal","366","278","0","0.0","0","33134626","0.99","10391795"
"org.openrewrite.java.migrate.net.URLConstructorsToURIRecipes$URLThreeArgumentConstructorRecipe","366","278","0","0.0","0","8368108","0.99","537689"
"org.openrewrite.java.migrate.concurrent.MigrateAtomicIntegerArrayWeakCompareAndSetToWeakCompareAndSetPlain","366","278","0","0.0","0","40616","0.99","822"
"org.openrewrite.java.migrate.DeprecatedJavaxSecurityCert","366","278","0","0.0","0","57282","0.99","672"
"org.openrewrite.java.migrate.javax.JavaxLangModelUtil","366","278","0","0.0","0","30242","0.99","911"
"org.openrewrite.java.migrate.jakarta.JacksonJavaxToJakarta","366","278","0","0.0","0","40229","0.99","2675"
"org.openrewrite.java.ReorderMethodArguments","732","278","0","0.0","0","15529704","0.99","3175492"
"com.oracle.weblogic.rewrite.jakarta.RemovalsServletJakarta9","366","278","0","0.0","0","22477","0.99","541"
"org.openrewrite.jenkins.UpgradeJavaVersion","1098","278","2881879","0.99","137470","16197222","0.99","6034956"
"org.openrewrite.maven.AddDependency","366","278","2690902","0.99","236437","1273288","0.99","47148"
"com.oracle.weblogic.rewrite.JakartaEE9_1","366","278","0","0.0","0","41241","0.99","702"
